#{"t_start": 1734358070.976824, "env_id": "RMSA_ENV-v0"}
r,l,t
100.0,100,65.347789
100.0,100,65.380742
100.0,100,65.413601
98.0,100,65.446767
100.0,100,65.479533
100.0,100,65.512341
100.0,100,65.547194
98.0,100,65.578405
100.0,100,65.612914
100.0,100,65.645972
98.0,100,65.678258
100.0,100,65.710499
100.0,100,65.743044
100.0,100,65.775266
100.0,100,65.808574
100.0,100,65.84015
98.0,100,65.873181
100.0,100,65.906833
100.0,100,65.93996
100.0,100,65.972282
100.0,100,66.005368
100.0,100,66.037187
100.0,100,66.070067
100.0,100,66.101337
100.0,100,66.13406
100.0,100,66.167351
100.0,100,66.200532
100.0,100,66.233454
100.0,100,66.264905
100.0,100,66.297337
100.0,100,66.329982
100.0,100,66.360825
100.0,100,66.394181
94.0,100,66.425499
100.0,100,66.457912
100.0,100,66.49053
100.0,100,66.522575
100.0,100,66.555506
100.0,100,66.588948
100.0,100,66.621622
100.0,100,66.653343
100.0,100,66.687851
100.0,100,66.72107
100.0,100,66.753575
100.0,100,66.787338
100.0,100,66.820702
100.0,100,66.852528
100.0,100,66.88372
98.0,100,66.916145
98.0,100,66.949498
100.0,100,66.982856
98.0,100,67.014989
98.0,100,67.046337
94.0,100,67.081244
100.0,100,67.11402
100.0,100,67.147286
100.0,100,67.180746
100.0,100,67.212457
100.0,100,67.244084
100.0,100,67.277608
100.0,100,67.309462
100.0,100,67.343531
100.0,100,67.377035
96.0,100,67.409111
98.0,100,67.442766
100.0,100,67.475639
98.0,100,67.509473
100.0,100,67.543008
100.0,100,67.576305
98.0,100,67.609681
100.0,100,67.642658
100.0,100,67.676149
100.0,100,67.708395
100.0,100,67.741893
100.0,100,67.774586
98.0,100,67.808009
98.0,100,67.841233
100.0,100,67.874331
100.0,100,67.907625
100.0,100,67.940981
100.0,100,67.975173
98.0,100,68.008464
100.0,100,68.042362
94.0,100,68.072786
100.0,100,68.10428
100.0,100,68.137719
100.0,100,68.170852
98.0,100,68.203641
98.0,100,68.238064
100.0,100,68.276053
100.0,100,68.308311
100.0,100,68.340929
100.0,100,68.372635
100.0,100,68.403956
100.0,100,68.43788
100.0,100,68.473339
100.0,100,68.541925
100.0,100,68.578052
100.0,100,68.61117
100.0,100,68.643352
100.0,100,68.676633
100.0,100,68.710492
100.0,100,68.743894
100.0,100,68.779574
98.0,100,68.810805
98.0,100,68.841049
100.0,100,68.87541
100.0,100,68.908495
100.0,100,68.94215
100.0,100,68.976022
100.0,100,69.00898
96.0,100,69.040643
98.0,100,69.075751
100.0,100,69.109305
100.0,100,69.141765
100.0,100,69.173364
98.0,100,69.20729
98.0,100,69.240333
98.0,100,69.27231
100.0,100,69.305446
100.0,100,69.337786
100.0,100,69.370662
100.0,100,69.40307
98.0,100,69.435552
100.0,100,69.468111
100.0,100,69.501054
96.0,100,69.532235
100.0,100,69.565239
100.0,100,69.598425
100.0,100,69.631611
100.0,100,69.664327
100.0,100,69.695694
100.0,100,69.7285
98.0,100,69.762105
98.0,100,69.797289
100.0,100,69.830988
98.0,100,69.864297
100.0,100,69.896823
100.0,100,69.931538
94.0,100,69.963481
98.0,100,69.997107
100.0,100,70.029447
100.0,100,70.061665
100.0,100,70.095496
98.0,100,70.128559
