#{"t_start": 1726419841.7342029, "env_id": "RMSA_ENV-v0"}
r,l,t
972,1000,420.739462
984,1000,422.060585
994,1000,423.374439
992,1000,424.689458
980,1000,426.002535
988,1000,427.43436
986,1000,428.738405
968,1000,430.056178
964,1000,431.397054
984,1000,432.757888
972,1000,434.082313
980,1000,435.426194
980,1000,436.748791
966,1000,438.046177
988,1000,439.3625
950,1000,440.651718
986,1000,441.963928
986,1000,443.265589
984,1000,444.563623
978,1000,445.893455
988,1000,447.188414
994,1000,448.543017
972,1000,449.86573
984,1000,451.194787
986,1000,452.528891
978,1000,453.881184
990,1000,455.220071
976,1000,456.547723
984,1000,457.906723
978,1000,459.284937
968,1000,460.585536
976,1000,461.911141
970,1000,463.237014
964,1000,464.610413
976,1000,466.013315
988,1000,467.357342
976,1000,468.67514
970,1000,470.015679
984,1000,471.324492
968,1000,472.62261
976,1000,473.94786
994,1000,475.261285
992,1000,476.594819
980,1000,477.89993
988,1000,479.25555
978,1000,480.576387
984,1000,481.917038
978,1000,483.316185
976,1000,484.688946
986,1000,486.030297
986,1000,487.345635
976,1000,488.682095
980,1000,490.012597
986,1000,491.344908
970,1000,492.720068
990,1000,494.035015
978,1000,495.347182
970,1000,496.667503
976,1000,497.990944
996,1000,499.387171
980,1000,500.727886
992,1000,502.066119
972,1000,503.390917
978,1000,504.730093
982,1000,506.047945
986,1000,507.370552
978,1000,508.686034
984,1000,510.011156
984,1000,511.3426
988,1000,512.647054
978,1000,513.951013
972,1000,515.32782
982,1000,516.6408
982,1000,517.944557
978,1000,519.246185
976,1000,520.566206
984,1000,521.910712
958,1000,523.269862
976,1000,524.586105
992,1000,525.88602
978,1000,527.200631
982,1000,528.491859
988,1000,529.804046
984,1000,531.110442
972,1000,532.453422
964,1000,533.791772
982,1000,535.105728
988,1000,536.43448
966,1000,537.775724
984,1000,539.128707
982,1000,540.444376
992,1000,541.83504
982,1000,543.179253
968,1000,544.614393
964,1000,545.933045
982,1000,547.251966
996,1000,548.574018
990,1000,549.898062
966,1000,551.210626
990,1000,552.541526
972,1000,553.842786
996,1000,555.172539
974,1000,556.488385
970,1000,557.803068
966,1000,559.104743
982,1000,560.422213
978,1000,561.75116
988,1000,563.096691
986,1000,564.403217
970,1000,565.703344
980,1000,567.010915
988,1000,568.350742
980,1000,569.699281
970,1000,571.106072
980,1000,572.464192
984,1000,573.801781
982,1000,575.157442
968,1000,576.512864
978,1000,577.857571
992,1000,579.23037
968,1000,580.558312
976,1000,581.913826
972,1000,583.267988
986,1000,584.603954
968,1000,586.024467
986,1000,587.378124
974,1000,588.692922
980,1000,589.990553
982,1000,591.369233
966,1000,592.707676
972,1000,594.04536
960,1000,595.4321
982,1000,596.782133
990,1000,598.205313
976,1000,599.572917
974,1000,600.950968
982,1000,602.297446
980,1000,603.635089
980,1000,604.978624
954,1000,606.295448
984,1000,607.678518
976,1000,609.002006
980,1000,610.34208
990,1000,611.673179
978,1000,612.968004
988,1000,614.306499
964,1000,615.678034
990,1000,617.016274
982,1000,618.341362
990,1000,619.705381
976,1000,621.028428
990,1000,622.378727
982,1000,623.734842
976,1000,625.12061
978,1000,626.499159
970,1000,627.858652
980,1000,629.172928
980,1000,630.48358
976,1000,631.783581
984,1000,633.102859
986,1000,634.412163
990,1000,635.748134
982,1000,637.08125
986,1000,638.427898
970,1000,639.759153
962,1000,641.077761
976,1000,642.39565
976,1000,643.711461
970,1000,645.08214
962,1000,646.423106
968,1000,647.777709
972,1000,649.096544
976,1000,650.43839
974,1000,651.756287
982,1000,653.075531
992,1000,654.402848
966,1000,655.710473
984,1000,657.065007
966,1000,658.390708
992,1000,659.766799
984,1000,661.085451
980,1000,662.457982
980,1000,663.791101
968,1000,665.145966
986,1000,666.463515
986,1000,667.790249
986,1000,669.153049
988,1000,670.46743
968,1000,671.774758
960,1000,673.100832
881,901,696.727184
974,1000,698.101347
978,1000,699.448273
996,1000,700.831375
984,1000,702.167387
972,1000,703.564692
966,1000,704.893603
976,1000,706.238978
982,1000,707.57572
986,1000,708.898636
976,1000,710.227529
972,1000,711.535176
974,1000,712.860652
986,1000,714.182988
984,1000,715.496528
984,1000,716.824975
988,1000,718.144971
994,1000,719.484934
970,1000,720.86199
968,1000,722.187088
976,1000,723.543716
976,1000,724.891457
978,1000,726.266229
974,1000,727.628911
980,1000,729.028555
984,1000,730.393634
986,1000,731.711187
992,1000,733.022995
988,1000,734.357222
996,1000,735.735526
988,1000,737.066832
982,1000,738.385893
964,1000,739.723072
954,1000,741.050476
980,1000,742.358288
992,1000,743.6608
986,1000,744.966149
988,1000,746.294456
984,1000,747.612462
990,1000,748.94234
978,1000,750.276243
996,1000,751.660196
968,1000,753.026831
994,1000,754.452051
984,1000,755.821992
974,1000,757.147303
980,1000,758.528651
982,1000,759.912821
972,1000,761.259092
986,1000,762.605046
994,1000,763.926099
978,1000,765.241174
984,1000,766.619573
978,1000,768.056802
976,1000,769.411791
984,1000,770.737641
978,1000,772.071974
980,1000,773.421713
990,1000,774.762093
986,1000,776.11291
994,1000,777.448705
974,1000,778.835244
960,1000,780.2382
948,1000,781.651221
984,1000,783.008319
984,1000,784.363839
978,1000,785.712972
960,1000,787.069062
968,1000,788.450076
992,1000,789.811556
980,1000,791.138777
966,1000,792.466148
986,1000,793.822168
982,1000,795.211492
996,1000,796.588241
974,1000,797.926394
978,1000,799.294343
982,1000,800.661985
978,1000,802.052913
976,1000,803.367872
982,1000,804.722842
976,1000,806.100756
988,1000,807.412955
958,1000,808.724259
974,1000,810.059037
990,1000,811.410165
994,1000,812.770983
992,1000,814.107236
982,1000,815.423552
992,1000,816.989355
992,1000,818.343279
974,1000,819.68616
966,1000,821.050243
986,1000,822.360721
976,1000,823.668109
984,1000,825.049824
980,1000,826.394168
976,1000,827.789077
1000,1000,829.21051
982,1000,830.565653
978,1000,831.915467
889,917,833.687626
978,1000,835.005339
976,1000,836.37618
970,1000,837.736517
972,1000,839.127668
978,1000,840.505119
978,1000,841.894399
960,1000,843.206801
958,1000,844.515946
966,1000,845.868943
964,1000,847.208246
988,1000,848.592364
974,1000,849.940187
976,1000,851.277614
966,1000,852.61808
980,1000,853.945584
982,1000,855.339277
976,1000,856.733203
988,1000,858.161873
976,1000,859.521771
976,1000,860.85583
980,1000,862.207915
972,1000,863.628036
962,1000,864.93089
968,1000,866.241375
982,1000,867.554634
966,1000,868.894101
982,1000,870.220556
984,1000,871.552217
982,1000,872.925231
968,1000,874.238558
976,1000,875.530491
976,1000,876.839828
982,1000,878.187486
986,1000,879.513581
976,1000,880.84387
978,1000,882.187204
974,1000,883.528543
958,1000,884.836542
988,1000,886.151834
970,1000,887.508071
960,1000,888.847847
966,1000,890.162973
968,1000,891.490184
988,1000,892.829994
986,1000,894.166509
984,1000,895.493026
976,1000,896.786302
986,1000,898.100218
986,1000,899.442984
964,1000,900.768384
990,1000,902.080228
978,1000,903.442602
972,1000,904.793146
984,1000,906.126673
982,1000,907.514615
982,1000,908.919401
984,1000,910.273055
966,1000,911.661702
970,1000,913.011275
980,1000,914.348342
980,1000,915.669843
986,1000,916.995378
974,1000,918.315001
984,1000,919.607321
966,1000,920.898612
980,1000,922.191185
990,1000,923.490464
992,1000,924.866427
958,1000,926.164727
982,1000,927.504593
982,1000,928.815042
980,1000,930.131554
976,1000,931.439461
974,1000,932.739219
990,1000,934.112952
972,1000,935.457949
970,1000,936.791216
970,1000,938.122593
978,1000,939.454918
980,1000,940.796042
984,1000,942.097012
978,1000,943.445814
986,1000,944.743814
970,1000,946.068862
972,1000,947.366311
984,1000,948.6674
970,1000,949.986608
980,1000,951.34172
978,1000,952.654657
972,1000,954.015706
980,1000,955.343191
968,1000,956.643266
962,1000,957.954638
962,1000,959.261409
990,1000,960.579094
970,1000,961.887119
960,1000,963.176789
972,1000,964.477099
972,1000,965.768495
970,1000,967.054728
980,1000,968.345673
988,1000,969.697198
984,1000,971.09473
972,1000,972.467898
976,1000,973.768524
976,1000,975.066375
976,1000,976.367381
972,1000,977.671491
972,1000,978.988049
980,1000,980.293182
968,1000,981.58907
990,1000,982.89434
978,1000,984.217013
982,1000,985.52905
962,1000,986.836684
968,1000,988.191984
982,1000,989.536227
974,1000,990.852036
970,1000,992.188711
990,1000,993.551567
976,1000,994.947649
990,1000,996.372157
978,1000,997.706017
960,1000,999.085929
980,1000,1000.413542
980,1000,1001.739254
982,1000,1003.071475
964,1000,1004.38442
980,1000,1005.699123
990,1000,1006.99879
970,1000,1008.307852
980,1000,1009.613959
952,1000,1010.917647
986,1000,1012.212875
978,1000,1013.503812
978,1000,1014.834071
962,1000,1016.111562
986,1000,1017.416875
994,1000,1018.717434
968,1000,1020.008844
980,1000,1021.312613
974,1000,1022.663535
984,1000,1023.965549
982,1000,1025.258598
978,1000,1026.564101
986,1000,1027.859914
982,1000,1029.180279
976,1000,1030.512408
972,1000,1031.851458
982,1000,1033.161079
972,1000,1034.478313
970,1000,1035.814059
974,1000,1037.135107
970,1000,1038.447546
990,1000,1039.768979
978,1000,1041.065574
984,1000,1042.375399
984,1000,1043.687445
978,1000,1044.996937
982,1000,1046.292664
956,1000,1047.586122
984,1000,1048.905007
962,1000,1050.21493
984,1000,1051.512368
964,1000,1052.804024
970,1000,1054.114513
970,1000,1055.477958
956,1000,1056.773763
996,1000,1058.129854
966,1000,1059.428296
980,1000,1060.748319
956,1000,1062.067761
988,1000,1063.364841
956,1000,1064.663091
984,1000,1065.967534
982,1000,1067.273863
978,1000,1068.629756
958,1000,1069.954883
952,1000,1071.282278
966,1000,1072.60858
986,1000,1073.977983
962,1000,1075.411473
968,1000,1076.761989
974,1000,1078.081971
966,1000,1079.382755
968,1000,1080.693435
984,1000,1082.071147
984,1000,1083.414113
984,1000,1084.764259
984,1000,1086.171585
980,1000,1087.541095
954,1000,1088.838002
972,1000,1090.129283
984,1000,1091.467684
956,1000,1092.758577
986,1000,1094.044803
984,1000,1095.382771
968,1000,1096.700375
976,1000,1098.003897
986,1000,1099.321261
990,1000,1100.635483
459,467,1126.161595
978,1000,1127.485277
982,1000,1128.816964
974,1000,1130.143824
994,1000,1131.571464
978,1000,1132.900841
964,1000,1134.230064
980,1000,1135.610406
976,1000,1137.01725
980,1000,1138.37224
962,1000,1139.727637
972,1000,1141.043279
964,1000,1142.433499
984,1000,1143.797871
994,1000,1145.176466
980,1000,1146.600723
968,1000,1147.959931
986,1000,1149.342372
958,1000,1150.767035
986,1000,1152.138464
986,1000,1153.514596
976,1000,1154.867032
986,1000,1156.261972
988,1000,1157.66544
994,1000,1159.000238
992,1000,1160.339724
980,1000,1161.661701
960,1000,1162.992243
982,1000,1164.315125
974,1000,1165.632408
978,1000,1167.000456
956,1000,1168.349937
992,1000,1169.740649
984,1000,1171.10404
974,1000,1172.465649
988,1000,1173.833164
990,1000,1175.208698
964,1000,1176.559628
958,1000,1177.918091
992,1000,1179.290605
968,1000,1180.700572
992,1000,1182.080716
990,1000,1183.462768
992,1000,1184.808075
986,1000,1186.162869
978,1000,1187.521975
990,1000,1188.844187
980,1000,1190.172027
986,1000,1191.496459
974,1000,1192.807949
978,1000,1194.104885
982,1000,1195.419072
994,1000,1196.736218
994,1000,1198.059659
974,1000,1199.379842
986,1000,1200.726486
986,1000,1202.050582
978,1000,1203.356289
990,1000,1204.778834
992,1000,1206.095717
976,1000,1207.423307
964,1000,1208.710777
978,1000,1210.005578
984,1000,1211.308999
982,1000,1212.703577
974,1000,1214.116542
982,1000,1215.491109
984,1000,1216.831031
976,1000,1218.148428
978,1000,1219.459745
976,1000,1220.841091
988,1000,1222.169487
980,1000,1223.508264
996,1000,1224.832207
976,1000,1226.160999
970,1000,1227.513762
988,1000,1228.835248
976,1000,1230.150114
970,1000,1231.44384
984,1000,1232.778153
988,1000,1234.123909
986,1000,1235.448095
966,1000,1236.741229
984,1000,1238.064357
984,1000,1239.376028
980,1000,1240.712077
966,1000,1242.036071
960,1000,1243.341509
982,1000,1244.648342
972,1000,1245.967132
986,1000,1247.281134
996,1000,1248.600738
982,1000,1249.919757
970,1000,1251.225493
974,1000,1252.525193
984,1000,1253.842841
980,1000,1255.164717
954,1000,1256.500745
984,1000,1257.810324
980,1000,1259.106431
982,1000,1260.401255
427,435,1262.098892
980,1000,1263.385348
988,1000,1264.699391
978,1000,1266.011774
974,1000,1267.330738
970,1000,1268.613209
968,1000,1269.904153
986,1000,1271.20459
972,1000,1272.496222
972,1000,1273.800778
950,1000,1275.087985
954,1000,1276.38155
966,1000,1277.681806
970,1000,1279.026933
982,1000,1280.323318
958,1000,1281.603469
978,1000,1282.900808
984,1000,1284.215819
976,1000,1285.500786
960,1000,1286.787073
988,1000,1288.084413
982,1000,1289.380352
978,1000,1290.673494
974,1000,1291.978495
978,1000,1293.344575
966,1000,1294.632401
966,1000,1295.91188
958,1000,1297.213566
984,1000,1298.530864
984,1000,1299.83442
956,1000,1301.121673
958,1000,1302.432839
968,1000,1303.720809
980,1000,1305.009791
968,1000,1306.298581
988,1000,1307.597221
974,1000,1308.886035
970,1000,1310.16075
984,1000,1311.455969
964,1000,1312.752466
972,1000,1314.031882
974,1000,1315.315551
936,1000,1316.592247
974,1000,1317.884766
972,1000,1319.188039
976,1000,1320.529229
990,1000,1321.841641
982,1000,1323.151633
966,1000,1324.439488
978,1000,1325.737623
964,1000,1327.050132
980,1000,1328.344957
968,1000,1329.620722
984,1000,1330.91092
968,1000,1332.214242
984,1000,1333.502445
968,1000,1334.78491
978,1000,1336.083046
964,1000,1337.379118
974,1000,1338.672114
974,1000,1339.970915
984,1000,1341.2618
972,1000,1342.573897
960,1000,1343.875705
972,1000,1345.182031
984,1000,1346.482567
982,1000,1347.815893
964,1000,1349.104241
948,1000,1350.390988
972,1000,1351.683913
942,1000,1352.975279
976,1000,1354.274256
976,1000,1355.672727
964,1000,1356.966605
970,1000,1358.258977
986,1000,1359.543073
974,1000,1360.928741
974,1000,1362.318946
972,1000,1363.669152
994,1000,1365.032087
970,1000,1366.368025
978,1000,1367.719264
954,1000,1369.036598
960,1000,1370.434188
974,1000,1371.73648
956,1000,1373.017006
978,1000,1374.377763
974,1000,1375.701451
974,1000,1377.056395
964,1000,1378.439432
982,1000,1379.727238
960,1000,1381.05162
976,1000,1382.372606
984,1000,1383.705714
988,1000,1385.009128
988,1000,1386.331274
962,1000,1387.675444
972,1000,1389.074046
958,1000,1390.44548
978,1000,1391.784152
978,1000,1393.137841
954,1000,1394.469735
976,1000,1395.818141
964,1000,1397.169582
948,1000,1398.461037
980,1000,1399.774941
966,1000,1401.069
954,1000,1402.367538
970,1000,1403.671568
988,1000,1404.985496
966,1000,1406.278328
964,1000,1407.595388
976,1000,1408.894288
980,1000,1410.207877
978,1000,1411.495387
978,1000,1412.804999
966,1000,1414.194341
978,1000,1415.515227
978,1000,1416.813013
974,1000,1418.099709
982,1000,1419.380187
980,1000,1420.681164
984,1000,1421.97948
972,1000,1423.273866
978,1000,1424.563503
980,1000,1425.859694
978,1000,1427.2063
958,1000,1428.561723
976,1000,1429.856905
972,1000,1431.152255
984,1000,1432.45379
976,1000,1433.736203
980,1000,1435.030673
952,1000,1436.304183
978,1000,1437.584131
984,1000,1438.884924
962,1000,1440.173068
986,1000,1441.458624
976,1000,1442.749788
962,1000,1444.091982
968,1000,1445.470007
962,1000,1446.815452
966,1000,1448.135666
982,1000,1449.52592
960,1000,1450.871933
962,1000,1452.209407
958,1000,1453.545435
976,1000,1454.856718
964,1000,1456.150421
962,1000,1457.454807
968,1000,1458.830007
964,1000,1460.12058
962,1000,1461.398976
976,1000,1462.713665
978,1000,1464.027441
958,1000,1465.316408
976,1000,1466.655043
966,1000,1467.956146
974,1000,1469.289636
978,1000,1470.625654
978,1000,1471.953576
982,1000,1473.264021
980,1000,1474.580309
992,1000,1475.884409
966,1000,1477.237686
962,1000,1478.613824
956,1000,1479.911679
974,1000,1481.243591
988,1000,1482.600443
964,1000,1483.922455
974,1000,1485.280345
972,1000,1486.612913
954,1000,1487.972047
968,1000,1489.353141
978,1000,1490.733317
982,1000,1492.104687
982,1000,1493.432843
982,1000,1494.738077
970,1000,1496.061384
978,1000,1497.356906
972,1000,1498.671122
976,1000,1499.993831
976,1000,1501.337115
972,1000,1502.709068
976,1000,1504.015485
982,1000,1505.398477
980,1000,1506.719788
994,1000,1508.021222
964,1000,1509.322343
976,1000,1510.641845
990,1000,1511.959324
990,1000,1513.349306
974,1000,1514.687202
976,1000,1516.018664
966,1000,1517.342983
976,1000,1518.665918
982,1000,1519.961792
984,1000,1521.25835
976,1000,1522.577614
974,1000,1523.909514
986,1000,1525.188153
984,1000,1526.48955
990,1000,1527.776432
688,694,1554.850741
982,1000,1556.212396
984,1000,1557.565384
986,1000,1558.950485
986,1000,1560.309913
964,1000,1561.618499
972,1000,1563.017903
990,1000,1564.363695
978,1000,1565.704887
980,1000,1567.017931
996,1000,1568.370739
988,1000,1569.700968
966,1000,1571.024239
972,1000,1572.37513
986,1000,1573.732285
976,1000,1575.07127
980,1000,1576.381944
980,1000,1577.684068
982,1000,1579.013823
978,1000,1580.330869
980,1000,1581.621834
986,1000,1582.940139
994,1000,1584.264816
980,1000,1585.617992
988,1000,1586.955457
974,1000,1588.298805
990,1000,1589.63349
982,1000,1590.99017
984,1000,1592.421087
966,1000,1593.798133
984,1000,1595.147993
986,1000,1596.536032
976,1000,1597.895732
994,1000,1599.373794
980,1000,1600.740407
990,1000,1602.096802
990,1000,1603.526513
976,1000,1604.898069
978,1000,1606.216283
974,1000,1607.536278
962,1000,1608.89809
968,1000,1610.277257
964,1000,1611.635877
986,1000,1612.963653
950,1000,1614.31372
980,1000,1615.649803
976,1000,1616.990347
968,1000,1618.302948
962,1000,1619.73446
988,1000,1621.108836
988,1000,1622.537968
996,1000,1623.889415
974,1000,1625.234553
976,1000,1626.612079
974,1000,1627.964347
974,1000,1629.349386
980,1000,1630.759382
990,1000,1632.157025
990,1000,1633.509264
984,1000,1634.868464
966,1000,1636.169525
986,1000,1637.468406
994,1000,1638.775402
984,1000,1640.118591
966,1000,1641.434889
964,1000,1642.817777
992,1000,1644.202747
962,1000,1645.596391
994,1000,1646.918877
986,1000,1648.261086
986,1000,1649.633011
972,1000,1650.963609
988,1000,1652.276143
976,1000,1653.573036
972,1000,1654.873327
994,1000,1656.251807
972,1000,1657.590159
990,1000,1658.927061
980,1000,1660.276238
988,1000,1661.716762
988,1000,1663.074873
988,1000,1664.442456
994,1000,1665.865013
984,1000,1667.225951
978,1000,1668.564684
982,1000,1669.906874
974,1000,1671.267268
978,1000,1672.639034
968,1000,1674.002952
990,1000,1675.342281
984,1000,1676.677395
982,1000,1678.029252
978,1000,1679.386692
980,1000,1680.724414
970,1000,1682.056755
974,1000,1683.383093
980,1000,1684.708341
992,1000,1686.05833
986,1000,1687.402599
986,1000,1688.746382
964,1000,1690.117588
680,698,1691.840201
