,0
0,-2.2987710201309875e-06
1,5.063022339009455e-08
2,3.6386867475402557e-06
3,3.884596987330527e-05
4,-1.2971080612637022e-05
5,8.845132257064393e-05
6,-3.1918001964629894e-06
7,-1.190664190622469e-05
8,-1.730172144663227e-05
9,-2.1966993589041933e-05
10,4.0315407596437e-08
11,-1.098916226199988e-05
12,-1.4651533229463384e-05
13,0.0
14,0.0
15,1.4652501685534831e-06
16,4.990790707789645e-07
17,7.282078089381995e-06
18,2.0613327824353672e-05
19,5.979960964535938e-06
20,5.207365734456573e-05
21,0.00011745476378718624
22,-1.1455100572001054e-05
23,-4.7826892482943024e-05
24,-3.2264392018856465e-05
25,-3.1863831392859224e-05
26,-6.524435661600649e-06
27,-3.968424456121347e-05
28,-0.0044366045087270625
29,-0.004481047837186912
30,-0.005859065556453924
31,-0.004603087204371325
32,-0.006130863182787386
33,0.003672223585995563
34,-0.0012476265653345662
35,0.0034284195896979053
36,-0.00017667739573230375
37,0.007623576019456588
38,-0.002645590316002739
39,-0.0036826117399130377
40,-0.003046545892056257
41,0.005825595671725017
42,-0.002928299163565896
43,-0.0004908373592779478
44,0.005818662811413906
45,0.0002453013790639004
46,0.0013157684176127251
47,-0.001031620255082478
48,-0.0026570143910767106
49,0.005548377739851045
50,-0.001358229881906121
51,-0.0033338897593317234
52,0.0024440734578500753
53,-0.0030228114961415777
54,0.006670781715456382
55,0.006449362052287362
56,0.007225376010902083
57,-0.0004482293680863008
58,0.004529055579195287
59,-0.0010890796035752824
60,0.0012224265847701951
61,-0.0035095584753759945
62,0.005794212952540565
63,0.00348972612223854
64,-0.004505101125999884
65,-0.0006361700641323253
66,0.004082059966450641
