,0
0,0.0004644931340747086
1,0.0008890959594234245
2,0.00021316805429483015
3,0.0004652756764151884
4,0.007903207292793025
5,0.009361175319196013
6,0.026040040375286354
7,0.0055437137757362465
8,0.00348460495688713
9,0.004652820489098612
10,0.00400815118252793
11,0.0005882488402146053
12,0.006310586722056117
13,0.0010849518097078659
14,0.002906413315515815
15,0.005562166839985221
16,0.004896411175346837
17,0.010675526087763919
18,0.0003409127713665899
19,0.014078851410996972
20,0.0005816047629413092
21,0.0038018814663741385
22,0.0008378015243297478
23,0.00012547301582375368
24,0.01881611942932364
25,0.003218214315485698
26,0.0008238362915156735
27,0.03756554916408105
28,0.012709440665819152
29,0.013206132502540453
30,0.014182453670709156
31,0.0068623811119009415
32,0.016354145768370413
33,0.01295474286505125
34,0.014379328923008161
35,0.01231246220900512
36,0.011449479164005094
37,0.017107238040753158
38,0.021770142731283634
39,0.021718823509017292
40,0.013163493980704268
41,0.01514098500676622
42,0.01182219522277711
43,0.012331582950881041
44,0.008413671646256816
45,0.016053856685367757
46,0.014167510472151416
47,0.012809203836614292
48,0.008161510667183642
49,0.017131286044120345
50,0.01950766056685944
51,0.012447624738015443
52,0.01604065936939768
53,0.018399202410014533
54,0.011700895306566978
55,0.015901048379848695
56,0.013564261975113633
57,0.012238748456749488
58,0.01595222777835647
59,0.019551419129739143
60,0.008221787627089402
61,0.008943099385222433
62,0.005369998782622578
63,0.012198015250739274
64,0.013175892239174638
65,0.008264204925293527
66,0.013032136874645672
67,0.006548146699755668
68,0.005770794559409045
69,0.006511790267439498
70,0.004924393179447112
71,0.007993331213499487
72,0.005021502154576741
73,0.002686430615977092
74,0.004021509796198383
75,0.009212924525096509
76,0.006097930662134891
77,0.0070063710559918465
78,0.005932656414155194
79,0.00535893118703777
80,0.0037885740558033527
81,0.0030877122850902243
82,0.003164764982351095
83,0.004308792645547625
84,0.004667487040480574
85,0.003750037123999047
86,0.002513375816980406
87,0.0015585838595151803
88,0.001449243845609878
89,0.0015637226307938451
90,0.002016458661333698
91,0.0027041943925880598
92,0.0026762069045434384
93,0.0027333209006717672
